"expc","educ","ypc","sexo"
73,"1",4e+05,"1"
115,"7",113333,"2"
429,"8",255556,"1"
63,"8",150000,"2"
131,"5",151352,"1"
19,"5",137500,"1"
181,"1",342640,"1"
53,"4",450000,"2"
404,"1",131472,"2"
44,"2",285000,"2"
118,"0",140047,"1"
352,"3",76082,"1"
159,"6",204835,"2"
55,"5",137801,"1"
184,"1",416788,"2"
95,"1",110000,"1"
55,"5",425000,"2"
421,"5",629264,"1"
76,"11",1565833,"2"
77,"6",257680,"1"
119,"0",188904,"1"
125,"5",5e+05,"2"
99,"2",134000,"2"
35,"2",102865,"1"
216,"2",279167,"2"
222,"5",72006,"2"
131,"5",158033,"2"
159,"5",77500,"2"
50,"5",162667,"2"
274,"5",176601,"1"
113,"1",83789,"1"
127,"5",317500,"2"
99,"9",678947,"2"
83,"0",514406,"2"
20,"1",376842,"2"
214,"1",112653,"2"
206,"1",293006,"2"
62,"11",104646,"1"
56,"5",1022222,"2"
348,"1",197297,"1"
25,"8",538989,"2"
310,"1",253159,"1"
313,"9",315508,"1"
36,"9",1446752,"2"
300,"11",1116111,"1"
152,"7",257500,"2"
83,"11",1036667,"1"
168,"0",328419,"2"
151,"2",288258,"2"
310,"5",229882,"2"
83,"11",647083,"2"
264,"0",184722,"1"
27,"0",1e+05,"2"
42,"11",1048334,"1"
30,"6",430000,"1"
73,"6",303161,"1"
144,"1",73105,"1"
64,"0",136955,"1"
957,"5",298750,"1"
31,"3",197707,"2"
14,"11",777500,"2"
148,"9",270000,"2"
69,"5",225000,"2"
62,"2",110038,"1"
75,"5",235015,"1"
117,"4",99831,"1"
113,"2",206000,"1"
169,"3",396125,"2"
77,"7",157901,"2"
57,"11",1008334,"1"
126,"5",513333,"2"
108,"1",360208,"2"
82,"1",166089,"1"
313,"5",193341,"2"
154,"5",424091,"1"
135,"3",122083,"2"
402,"8",383333,"1"
34,"5",138574,"2"
55,"5",617500,"1"
46,"1",38854,"1"
33,"1",121842,"2"
418,"4",295000,"2"
142,"1",186081,"1"
104,"3",216000,"2"
356,"5",184259,"1"
61,"1",230000,"1"
71,"11",329500,"2"
449,"0",166667,"2"
115,"5",136111,"2"
37,"1",201667,"2"
469,"0",137800,"2"
175,"6",407500,"1"
111,"5",107312,"2"
91,"0",168494,"2"
191,"8",1157500,"2"
130,"3",155000,"2"
145,"9",150000,"2"
